id,nama_provinsi
0,aceh
1,bali
2,banten
3,bengkulu
4,gorontalo
5,jakarta
6,jambi
7,jawa barat
8,jawa tengah
9,jawa timur
10,kalimantan barat
11,kalimantan selatan
12,kalimantan tengah
13,kalimantan timur
14,kalimantan utara
15,kepulauan bangka belitung
16,kepulauan riau
17,lampung
18,maluku
19,maluku utara
20,nusa tenggara barat
21,nusa tenggara timur
22,papua
23,papua barat
24,riau
25,sulawesi barat
26,sulawesi selatan
27,sulawesi tengah
28,sulawesi tenggara
29,sulawesi utara
30,sumatera barat
31,sumatera selatan
32,sumatera utara
33,yogyakarta
