,uraian,pejabat negara/pejabat eselon i,pejabat negara lainnya/pejabat eselon ii,pejabat eselon iii/golongan iv,pejabat eselon iv/golongan iii/ii/i
0,ACEH,4420000,3526000,1294000,556000
1,SUMATERA UTARA,4960000,1756000,1100000,530000
2,RIAU,3820000,3119000,1650000,852000
3,KEPULAUAN RIAU,4275000,1854000,1037000,792000
4,JAMBI,4000000,3337000,1225000,580000
5,SUMATERA BARAT,5236000,3332000,1353000,650000
6,SUMATERA SELATAN,5850000,3083000,1571000,861000
7,LAMPUNG,4491000,2067000,1140000,580000
8,BENGKULU,2140000,1628000,1546000,692000
9,BANGKA BELITUNG,3827000,2838000,1957000,622000
10,BANTEN,5725000,2373000,1000000,718000
11,JAWA BARAT,5381000,2755000,1201000,570000
12,DKI JAKARTA,8720000,2063000,992000,730000
13,JAWA TENGAH,4242000,1480000,954000,600000
14,DI YOGYAKARTA,5017000,2695000,1384000,845000
15,JAWA TIMUR,4400000,1605000,1076000,664000
16,BALI,4890000,1946000,1078000,910000
17,NUSA TENGGARA BARAT,3500000,2648000,1418000,725000
18,NUSA TENGGARA TIMUR,3000000,1706000,1355000,550000
19,KALIMANTAN BARAT,2654000,1538000,1125000,538000
20,KALIMANTAN TENGAH,4901000,3391000,1160000,659000
21,KALIMANTAN SELATAN,4797000,3316000,1500000,648000
22,KALIMANTAN TIMUR,4000000,2188000,1507000,804000
23,KALIMANTAN UTARA,4000000,2188000,1507000,904000
24,SULAWESI UTARA,4919000,2290000,1170000,978000
25,GORONTALO,4168000,2549000,1606000,955000
26,SULAWESI BARAT,4076000,3098000,1075000,704000
27,SULAWESI SELATAN,4820000,1550000,1138000,732000
28,SULAWESI TENGAH,2309000,2027000,1567000,951000
29,SULAWESI TENGGARA,2475000,2059000,1297000,786000
30,MALUKU,3467000,3240000,1048000,667000
31,MALUKU UTARA,3440000,3175000,1073000,600000
32,PAPUA,3859000,3318000,2521000,830000
33,PAPUA BARAT,3872000,3212000,2056000,773000
