,uraian,luar kota,dalam kota lebih dari 8 (delapan) jam,diklat
0,ACEH,360000,140000,110000
1,SUMATERA UTARA,370000,150000,110000
2,RIAU,370000,150000,110000
3,KEPULAUAN RIAU,370000,150000,110000
4,JAMBI,370000,150000,110000
5,SUMATERA BARAT,380000,150000,110000
6,SUMATERA SELATAN,380000,150000,110000
7,LAMPUNG,380000,150000,110000
8,BENGKULU,380000,150000,110000
9,BANGKA BELITUNG,410000,160000,120000
10,BANTEN,370000,150000,110000
11,JAWA BARAT,430000,170000,130000
12,DKI JAKARTA,530000,210000,160000
13,JAWA TENGAH,370000,150000,110000
14,DI YOGYAKARTA,420000,170000,130000
15,JAWA TIMUR,410000,160000,120000
16,BALI,480000,190000,140000
17,NUSA TENGGARA BARAT,440000,180000,130000
18,NUSA TENGGARA TIMUR,430000,170000,130000
19,KALIMANTAN BARAT,380000,150000,110000
20,KALIMANTAN TENGAH,360000,140000,110000
21,KALIMANTAN SELATAN,380000,150000,110000
22,KALIMANTAN TIMUR,430000,170000,130000
23,KALIMANTAN UTARA,430000,170000,130000
24,SULAWESI UTARA,370000,150000,110000
25,GORONTALO,370000,150000,110000
26,SULAWESI BARAT,410000,160000,120000
27,SULAWESI SELATAN,430000,170000,130000
28,SULAWESI TENGAH,370000,150000,110000
29,SULAWESI TENGGARA,380000,150000,110000
30,MALUKU,380000,150000,110000
31,MALUKU UTARA,430000,170000,130000
32,PAPUA,580000,230000,170000
33,PAPUA BARAT,480000,190000,140000
